utterance,paraphrase,list_of_slots,error_category,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the forecast for Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the forecast for Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the forecast for Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the forecast for Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the weather forecast for the Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
What is the weather forecast for  Agate Fossil Beds National Monument,What is the weather forecast for the Agate Fossil Beds National Monument?,['Agate Fossil Beds National Monument || geographic_poi'],correct,,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in Federated States of Micronesia,"['cold || condition_temperature', 'Federated States Of Micronesia || state']","grammar, duplication",,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in the Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']",correct,,
Tell me if it is  cold  in  Federated States Of Micronesia,Tell me if it is cold in the Federated States of Micronesia?,"['cold || condition_temperature', 'Federated States Of Micronesia || state']",correct,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley.,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
I need the weather for  7/13/2036  in  Gwynedd Valley,I need the weather for 7/13/2036 in Gwynedd Valley,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']",duplication,,
Is it  cold   here ?,Is it cold here in the US? Why or why not?,"['cold || condition_temperature', 'here || current_location']","slot addition, incoherent, questioning",,
Is it  cold   here ?,Is it cold here in the US? Why or why not?,"['cold || condition_temperature', 'here || current_location']","slot addition, incoherent, questioning",,
Is it  cold   here ?,Is it cold here in the US? Why or why not?,"['cold || condition_temperature', 'here || current_location']","slot addition, incoherent, questioning",,
Is it  cold   here ?,Is it cold here in the US? Why or why not?,"['cold || condition_temperature', 'here || current_location']","slot addition, incoherent, questioning",,
Is it  cold   here ?,Is it cold here in the US? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, questioning",,
Is it  cold   here ?,Is it cold here in the US? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, redundant, questioning",,
Is it  cold   here ?,Is it cold here in the US? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, redundant, questioning",,
Is it  cold   here ?,Is it cold here in the US? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, redundant, questioning",,
Is it  cold   here ?,Is it cold in the winter here? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, redundant, questioning",,
Is it  cold   here ?,Is it cold in the winter here? How cold is it?,"['cold || condition_temperature', 'here || current_location']","slot addition, redundant, questioning",,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",duplication,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",duplication,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",duplication,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain next year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",duplication,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain in New Hampshire next year?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain this year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
Will there be  rain   next year  in  New Hampshire ?,Will there be rain this year in New Hampshire?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on the Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",duplication,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",correct,,
What is the weather at  5 am  on the  Farallon Islands ?,What is the weather at 5 am on Farallon Islands?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']",correct,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 p.m in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 p.m in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 p.m in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 p.m in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 Pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 Pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 Pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 Pm in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 P.M in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
Will it be  windy  at  4 Pm  in  NY ?,Will it be windy at 4 P.M in NY?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa.","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa.","['Roseburg || city', 'Iowa || state']",duplication,,
"Tell me the weather forecast for  Roseburg ,  Iowa","Tell me the weather forecast for Roseburg, Iowa.","['Roseburg || city', 'Iowa || state']",duplication,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and seasonally favorable.,['Malaysia || country'],answering,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and seasonally favorable.,['Malaysia || country'],answering,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and seasonally favorable.,['Malaysia || country'],answering,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and weatherwise.,['Malaysia || country'],"answering, redundant",,
Weather in  Malaysia,The weather in Malaysia is weather-wise and weatherwise.,['Malaysia || country'],"answering, redundant",,
Weather in  Malaysia,The weather in Malaysia is weather-wise and weatherwise.,['Malaysia || country'],"answering, redundant",,
Weather in  Malaysia,The weather in Malaysia is weather-wise and weatherwise.,['Malaysia || country'],"answering, redundant",,
Weather in  Malaysia,The weather in Malaysia is weather-wise and unpredictable.,['Malaysia || country'],answering,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and unpredictable.,['Malaysia || country'],answering,,
Weather in  Malaysia,The weather in Malaysia is weather-wise and unpredictable.,['Malaysia || country'],answering,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Need weather for  1 pm  in  Russell Gardens  or  close-by,Need weather for 1 pm in Russell Gardens or close-by.,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']",duplication,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Saturday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Saturday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Saturday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Saturday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Friday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Friday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Friday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Friday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Thursday?,"['windy || condition_description', 'John Day || city']",slot addition,,
Will it be  windy  in  John Day ?,Will it be windy in John Day on Thursday?,"['windy || condition_description', 'John Day || city']",slot addition,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal Park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What is the weather like at Nationaal Park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],correct,,
What's the weather like at  Nationaal park Bạch Mã,What's the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],duplication,,
What's the weather like at  Nationaal park Bạch Mã,What's the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],duplication,,
What's the weather like at  Nationaal park Bạch Mã,What's the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],duplication,,
What's the weather like at  Nationaal park Bạch Mã,What's the weather like at Nationaal park Bạch Mã?,['Nationaal park Bạch Mã || geographic_poi'],duplication,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Will it be hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Will it be hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Will it be hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Will it be hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Is it hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Is it hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Is it hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,Is it hotter in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,How hot will it be in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
Will it be  hotter  in  Hungary  on  February the 16th ?,How hot will it be in Hungary on February 16th?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']",correct,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",duplication,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",duplication,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",duplication,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",duplication,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What is the weather at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",correct,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What is the weather at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",correct,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What is the weather at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",correct,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What is the weather at six o'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",correct,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o 'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",spelling,,
What will the weather be at  six o'clock  in the  Virgin Islands ?,What will the weather be at six o 'clock in the Virgin Islands?,"[""six o'clock || timeRange"", 'Virgin Islands || state']",spelling,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to get hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to get hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to get hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to get hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in Rhode Island in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in RI in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
is the weather going to be  hotter  in  RI   in one year,Is the weather going to be hotter in RI in the next year?,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']",correct,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and will it be warm?,"['Weidman || city', 'warm || condition_temperature']",correct,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and will it be warm?,"['Weidman || city', 'warm || condition_temperature']",correct,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and will it be warm?,"['Weidman || city', 'warm || condition_temperature']",correct,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and will it be warm?,"['Weidman || city', 'warm || condition_temperature']",correct,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and why is it warm?,"['Weidman || city', 'warm || condition_temperature']",semantic,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and why is it warm?,"['Weidman || city', 'warm || condition_temperature']",semantic,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and why is it warm?,"['Weidman || city', 'warm || condition_temperature']",semantic,,
What is the weather in  Weidman  will it be  warm,What is the weather in Weidman and why is it warm?,"['Weidman || city', 'warm || condition_temperature']",semantic,,
What is the weather in  Weidman  will it be  warm,What is the weather like in Weidman?,"['Weidman || city', 'warm || condition_temperature']",slot omission,,
What is the weather in  Weidman  will it be  warm,What is the weather like in Weidman?,"['Weidman || city', 'warm || condition_temperature']",slot omission,,
humidity  in  Netawaka   WI,humidity in Netawaka WIhumidity.,"['humidity || condition_description', 'Netawaka || city', 'WI || state']",spelling,,
humidity  in  Netawaka   WI,humidity in Netawaka WIhumidity.,"['humidity || condition_description', 'Netawaka || city', 'WI || state']",spelling,,
humidity  in  Netawaka   WI,humidity in Netawaka WIhumidity.,"['humidity || condition_description', 'Netawaka || city', 'WI || state']",spelling,,
humidity  in  Netawaka   WI,humidity in Netawaka WIhumidity.,"['humidity || condition_description', 'Netawaka || city', 'WI || state']",spelling,,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity.","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity.","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity.","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity.","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
humidity  in  Netawaka   WI,"humidity in Netawaka WIhumidity,humidity","['humidity || condition_description', 'Netawaka || city', 'WI || state']","spelling, redundant",,
forecast for  Conrad,Theforecast for Conrad for the year 2017.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2017.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2017.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2017.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2018.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2018.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2018.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2018.,['Conrad || city'],"spelling, slot addition",,
forecast for  Conrad,Theforecast for Conrad for the year 2018 is:,['Conrad || city'],"spelling, slot addition, answering, punctuation",,
forecast for  Conrad,Theforecast for Conrad for the year 2018 is:,['Conrad || city'],"spelling, slot addition, answering, punctuation",,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale than Cale?,"['hotter || condition_temperature', 'Cale || city']",redundant,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale than Cale?,"['hotter || condition_temperature', 'Cale || city']",redundant,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale than Cale?,"['hotter || condition_temperature', 'Cale || city']",redundant,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale than Cale?,"['hotter || condition_temperature', 'Cale || city']",redundant,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the future?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the future?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the future?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the future?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the summer?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
Will it be  hotter  in  Cale ?,Will it be hotter in Cale in the summer?,"['hotter || condition_temperature', 'Cale || city']",slot addition,,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around oct. eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']","spelling, duplication",,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around oct. eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']","spelling, duplication",,
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,How cold will it get in Tajikistan around Oct. eleventh?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']",duplication,,
